CustomerID,Name,Region,JoinDate,LoyaltyPoints,CustomerSegment
1001,William White,East,11/11/2021,0.0,0.0
1002,Wylie Coyote,East,2/14/2023,0.0,0.0
1003,Dan Brown,West,10/19/2023,0.0,0.0
1004,Chewbacca,West,11/9/2022,0.0,0.0
1005,Dr Who,North,8/18/2023,0.0,0.0
1006,Tiffany James,South,6/7/2021,0.0,0.0
1007,Susan Johnson,South,6/30/2023,0.0,0.0
1008,Tony Stark,North,5/1/2020,0.0,0.0
1009,Jason Bourne,West,12/1/2020,0.0,0.0
1010,Hermione Granger,East,12/9/2022,0.0,0.0
1011,Hermione Grager,East,12/9/2022,0.0,0.0
